page 28: pypdf=139 chars, fitz=245 chars
page 29: pypdf=195 chars, fitz=588 chars
page 30: pypdf=99 chars, fitz=229 chars
page 32: pypdf=154 chars, fitz=214 chars
page 33: pypdf=271 chars, fitz=445 chars
page 34: pypdf=145 chars, fitz=270 chars
page 35: pypdf=78 chars, fitz=236 chars
page 36: pypdf=154 chars, fitz=347 chars
page 37: pypdf=123 chars, fitz=132 chars
page 46: pypdf=148 chars, fitz=383 chars
page 47: pypdf=366 chars, fitz=556 chars
page 51: pypdf=365 chars, fitz=596 chars
page 62: pypdf=73 chars, fitz=216 chars
page 63: pypdf=144 chars, fitz=331 chars
page 64: pypdf=66 chars, fitz=214 chars
page 65: pypdf=126 chars, fitz=404 chars
page 66: pypdf=37 chars, fitz=234 chars
page 67: pypdf=97 chars, fitz=494 chars
page 68: pypdf=53 chars, fitz=216 chars
page 69: pypdf=90 chars, fitz=472 chars
page 70: pypdf=194 chars, fitz=385 chars
page 71: pypdf=48 chars, fitz=248 chars
page 72: pypdf=28 chars, fitz=190 chars
page 73: pypdf=236 chars, fitz=492 chars
page 74: pypdf=64 chars, fitz=187 chars
page 75: pypdf=191 chars, fitz=398 chars
